time,type
00:30:30,Large display
00:30:35,Large display
00:30:50,Large display
00:30:55,Large display
00:31:00,Large display
00:31:05,Large display
00:31:10,Large display
00:31:15,Large display
00:31:20,Large display
00:31:25,Large display
00:31:30,Large display
00:31:35,Large display
00:31:40,Large display
00:31:45,Large display
00:31:50,Large display
00:31:55,Large display
00:32:00,Large display
00:32:05,Large display
00:32:20,Large display
00:32:25,Large display
00:32:30,Large display
00:32:35,Large display
00:32:40,Large display
00:33:45,Large display
00:33:50,Large display
00:33:55,Large display
00:34:25,Large display
00:34:30,Large display
00:34:35,Large display
00:34:40,Large display
00:34:45,Large display
00:34:50,Large display
00:34:55,Large display
00:35:00,Large display
00:35:05,Large display
00:35:10,Large display
00:35:15,Large display
00:35:20,Large display
00:35:25,Large display
00:35:30,Large display
00:35:35,Large display
00:35:40,Large display
00:35:45,Large display
00:35:50,Large display
00:35:55,Large display
00:36:00,Large display
00:36:05,Large display
00:36:10,Large display
00:36:15,Large display
00:36:20,Large display
00:36:25,Large display
00:36:30,Large display
00:36:35,Large display
00:36:40,Large display
00:36:45,Large display
00:36:50,Large display
00:36:55,Large display
00:37:00,Large display
00:37:05,Large display
00:37:10,Large display
00:37:15,Large display
00:37:20,Large display
00:38:15,Large display
00:38:20,Large display
00:38:25,Large display
00:38:30,Large display
00:38:35,Large display
00:38:40,Large display
00:38:45,Large display
00:38:50,Large display
00:38:55,Large display
00:39:00,Large display
00:39:30,Large display
00:39:35,Large display
00:39:40,Large display
00:39:45,Large display
00:39:50,Large display
00:39:55,Large display
00:40:00,Large display
00:40:05,Large display
00:40:10,Large display
00:40:15,Large display
00:41:05,Large display
00:41:10,Large display
00:41:15,Large display
00:41:20,Large display
00:41:25,Large display
00:41:30,Large display
00:41:35,Large display
00:42:40,Large display
00:42:45,Large display
00:42:50,Large display
